"PC","var_explained","cum_var"
1,0.139131724153408,0.139131724153408
2,0.0642107428548569,0.203342467008264
3,0.0600529221553388,0.263395389163603
4,0.0357551583530375,0.299150547516641
5,0.0275307504272717,0.326681297943912
6,0.0228672868078675,0.34954858475178
7,0.0195339386670256,0.369082523418805
8,0.0170530318283368,0.386135555247142
9,0.0159555969281111,0.402091152175253
10,0.0143975771707977,0.416488729346051
11,0.0128154083108915,0.429304137656943
12,0.0116199482200473,0.44092408587699
13,0.0114285845314353,0.452352670408425
14,0.0103340266004552,0.46268669700888
15,0.00990753419609497,0.472594231204975
16,0.0096794419510318,0.482273673156007
17,0.00870390791341089,0.490977581069418
18,0.00843478696526748,0.499412368034686
19,0.00819171416937969,0.507604082204065
20,0.00792726157388194,0.515531343777947
21,0.00769729884035951,0.523228642618307
22,0.00751934915100007,0.530747991769307
23,0.0073806243350279,0.538128616104335
24,0.00723476448117251,0.545363380585507
25,0.00719600427790791,0.552559384863415
26,0.00703553729038188,0.559594922153797
27,0.00678602574604737,0.566380947899844
28,0.00674035386708524,0.57312130176693
29,0.00652691172238065,0.57964821348931
30,0.00647919475729588,0.586127408246606
31,0.00641174714716479,0.592539155393771
32,0.00628121562369882,0.59882037101747
33,0.00621494862604593,0.605035319643516
34,0.00617357221129595,0.611208891854812
35,0.0061093749264722,0.617318266781284
36,0.00591268145292838,0.623230948234212
37,0.00588945513633968,0.629120403370552
38,0.00582979576626955,0.634950199136821
39,0.00571347314012426,0.640663672276946
40,0.00567942040615827,0.646343092683104
41,0.00560403656097556,0.651947129244079
42,0.00553281786956818,0.657479947113648
43,0.00552701253906722,0.663006959652715
44,0.00551421582675556,0.66852117547947
45,0.00546512416653626,0.673986299646007
46,0.00541049357076055,0.679396793216767
47,0.00533919588129908,0.684735989098066
48,0.00527577484150738,0.690011763939574
49,0.00519253597399114,0.695204299913565
50,0.00515867185256691,0.700362971766132
51,0.00514592815178875,0.705508899917921
52,0.00510220746164484,0.710611107379565
53,0.00504754076408201,0.715658648143647
54,0.00500274349694949,0.720661391640597
55,0.00498231460739803,0.725643706247995
56,0.00489478343997875,0.730538489687974
57,0.00486418430949356,0.735402673997467
58,0.00482675286812673,0.740229426865594
59,0.00476327137385713,0.744992698239451
60,0.00472193072773985,0.749714628967191
61,0.00469269757188188,0.754407326539073
62,0.004680862533105,0.759088189072178
63,0.004637620825081,0.763725809897259
64,0.00459760635769076,0.76832341625495
65,0.00456381844470825,0.772887234699658
66,0.00449595415030046,0.777383188849958
67,0.0044626307610795,0.781845819611038
68,0.00438162864788831,0.786227448258926
69,0.00436629146417506,0.790593739723101
70,0.00433640247892207,0.794930142202023
71,0.00427903065780131,0.799209172859825
72,0.00425607996475893,0.803465252824583
