"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.363235294118,0.0540447536363446,117.740111037138,0
"GRINS_macroclass2 ITALIA DI MEZZO",-1.54704896704022,0.0598869043853544,-25.8328424706246,1.24020106755447e-145
"GRINS_macroclass3 ITALIA METROPOLITANA",-1.65284797017372,0.0995710044862135,-16.5996916341501,1.27891441841804e-61
"PeriodPre-COVID",0.308823529411901,0.0764308235676086,4.04056262901216,5.34492553787404e-05
"GRINS_macroclass2 ITALIA DI MEZZO:PeriodPre-COVID",0.0625739236714402,0.0846928723903049,0.738833409534983,0.460013653229068
"GRINS_macroclass3 ITALIA METROPOLITANA:PeriodPre-COVID",0.0336060480531458,0.140814664963507,0.23865446160636,0.81137507945418
