"test","statistic_I","expectation_I","variance_I","p_value"
"Monte Carlo (999 perm)",0.230635737452134,NA,NA,0.001
"Analytic",0.230635737452134,-0.00012685525815045,4.61888547394594e-05,5.24129020057871e-253
