"model","covariate_set","class","R2_mean","R2_sd","RMSE_mean","RMSE_sd","MAE_mean","MAE_sd"
"LASSO Lasso.min","Full (~191 cov)","LASSO benchmark",0.826539436308954,0.00733369252956081,1.73526927738383,0.0334383592306381,1.30091243697762,0.02076042034501
"LASSO Lasso.1se","Full (~191 cov)","LASSO benchmark",0.825147536987307,0.00783030546389683,1.74220875066537,0.0375897377540223,1.30543355680852,0.0225671860894474
"M_geo_nested","Parsimonious (25 cov)","Mixed model",0.818260727273691,0.0102779969548666,1.77628667182584,0.0360629692446874,1.34095990559324,0.0223525765980125
"M_geo_plus_tax","Parsimonious (25 cov)","Mixed model",0.812336612014756,0.00964943330164682,1.80518332269112,0.0348517977106409,1.3644640150722,0.0246265362766679
"M_geo","Parsimonious (25 cov)","Mixed model",0.811839877595669,0.00970107330744465,1.8075902265939,0.0361546594955015,1.36589016502341,0.0256289431193325
"M_tax","Parsimonious (25 cov)","Mixed model",0.784365887091148,0.01088114437826,1.93511081922122,0.0381963148940857,1.44746286995648,0.0330609064076937
"LM parsimonious (25 cov)","Parsimonious (25 cov)","Linear model",0.782829215335709,0.0100248329232699,1.94156323246918,0.0424395362275093,1.45362238373454,0.029232154610395
