"model","R2_marginal","R2_conditional","ICC","sigma2_resid","sigma2_random","AIC","BIC"
"M_geo (1|region)",0.684645358294538,0.794507722618975,0.348377191248218,3.23502217716396,1.72954034844931,63487.4484439336,63702.1139531478
"M_geo_nested (1|region/province)",0.689980142407207,0.80234337456685,0.362438822571266,3.07852633408406,1.75007120772309,62908.1684078434,63130.5005423867
"M_tax (1|GRINS_macroclass)",0.784069091238504,0.784754078870807,0.00317225373723477,3.72028746560118,0.0118392529306965,65585.2395965339,65799.9051057482
"M_geo_plus_tax (1|region)+(1|macroclass)",0.679729930688345,0.79433039098216,0.357824446537018,3.22439574500896,1.79665453885991,63444.4253169197,63666.757451463
