"model","R2_mean","R2_sd","RMSE_mean","RMSE_sd","MAE_mean","MAE_sd","n_folds"
"M_geo",0.845825018364713,0.00929719545136915,1.63587612579878,0.030210355618611,1.23347553471058,0.0174120493025272,5
"M_geo_nested",0.852686672981175,0.0103815933711873,1.59876270280353,0.0374735884387948,1.19763956925763,0.0175807911218602,5
"M_geo_plus_tax",0.846046739381842,0.00914463009222835,1.6347202652765,0.0293320554391823,1.23247508445394,0.0169675094539656,5
"M_tax",0.828504781309099,0.00646622784804174,1.72591582672971,0.0172986903132518,1.29619666032083,0.0149344881932618,5
