"intercept_offset","region"
4.58171612500451,"Valle d'Aosta"
-1.77556766250093,"Veneto"
-1.52284465033609,"Trentino-Alto Adige"
1.37645428698017,"Sicilia"
-1.26802000430518,"Friuli-Venezia Giulia"
-0.830797062676306,"Marche"
-0.804398640863136,"Lombardia"
-0.772518179432865,"Umbria"
0.76744523835402,"Calabria"
-0.701578497223021,"Piemonte"
-0.64128276390021,"Liguria"
0.618072929111613,"Campania"
0.605164791316515,"Puglia"
0.309901954750349,"Basilicata"
0.293904241084487,"Toscana"
-0.242264000545679,"Lazio"
-0.209018090252168,"Abruzzo"
0.152455073312779,"Sardegna"
0.0636169269636891,"Emilia-Romagna"
-0.00044199930172311,"Molise"
