"n_covariates","R2_mean","R2_sd","RMSE_mean","RMSE_sd","MAE_mean","MAE_sd"
5,0.652919637320545,0.0145311461846732,2.45455880980975,0.0450587092848711,1.90431722772592,0.0319410480626615
10,0.702533482023349,0.0126947814237332,2.27242535933207,0.0465019116748825,1.74194034109453,0.0329934128716803
15,0.742457931145537,0.0117706234215526,2.11437204131731,0.0466245240146391,1.58563820944652,0.0297189484763505
20,0.770006707298289,0.0104791581070375,1.99807957383398,0.043493333715482,1.49276466320261,0.0281426667577927
25,0.782829215335709,0.0100248329232699,1.94156323246918,0.0424395362275093,1.45362238373454,0.029232154610395
30,0.786046148731069,0.00973785406835471,1.92715398655652,0.041776964369902,1.44441892331718,0.0284657812458598
156,0.796796022690895,0.00973452833595452,1.87803696259627,0.0413541758801758,1.41435655100963,0.0272888247681498
