"PRO_COM","mean_residual"
1001,-2.07688228099769
1002,0.422315232328805
1003,1.77131925744241
1004,0.727556777932931
1006,-1.13612406614594
1007,1.73563561815127
1008,-0.0653944182348905
1009,1.38506144895469
1010,2.37628625193673
1011,0.50836915067052
1012,-0.387074103728518
1013,-0.0826528347356228
1014,-2.36109800092081
1015,-1.01672604073682
1016,0.21979809927979
1017,0.942985479727425
1018,-1.06539661601747
1019,1.27300883371129
1020,0.54251149843828
1021,1.17563497138184
1022,4.68828675682528
1023,-1.27112125492216
1024,1.79421414681671
1025,-0.324020229902486
1026,-1.44563371054484
1027,-1.78506679981869
1028,-0.184974554136937
1029,1.87059701984158
1030,-1.35989690548516
1031,1.1136183859745
1032,0.585079395873593
1033,0.15850265888767
1034,2.75817398506963
1035,-1.02347620049722
1036,-0.214296604385104
1037,0.896085539238843
1038,1.67684522954065
1039,0.179690295209781
1040,0.915661816571825
1041,-0.688627675719905
1042,1.42539103403936
1043,1.88428028984123
1044,0.688065187625627
1045,-0.642838088251877
1046,0.0920193934927782
1047,-0.33363117057478
1048,-0.811625899501623
1049,-0.551052211566726
1050,-3.67866419335255
1051,-2.02079675958405
1052,3.1907867968713
1053,-0.314217118183895
1054,0.48479704243763
1055,-0.0927966547394085
1056,0.490782722347734
1057,0.254712696317268
1058,-1.49469593042685
1059,-0.496378466734322
1060,-0.524813502951574
1061,-4.64361516649145
1062,-3.61207195619617
1063,-0.227174756545256
1064,-0.354412465462159
1065,-0.198860509555661
1066,-0.0911332443448497
1067,1.33026947983232
1068,-0.875492802760482
1069,0.202401111672301
1070,-0.48026308408052
1071,0.631708764587254
1072,1.69673504686155
1073,1.35682441415393
1074,7.53057016415587
1075,-2.12510613407784
1076,1.0532288369809
1077,-2.58083386439044
1078,-0.752973278594249
1079,-2.71884662415978
1080,2.5364099743548
1081,1.88985908367742
1082,-1.42746326369574
1083,1.84916880932545
1084,-0.373166324832974
1085,2.56802055235732
1086,0.120225426255593
1087,4.43277341244649
1088,1.42723889044906
1089,-1.41944693951434
1090,0.823620279727667
1091,-1.05852351904509
1092,1.9375460204037
1093,0.625103441101056
1094,1.52573126782687
1095,-0.523728799284517
1096,-0.702513996742314
1097,-1.38918054601204
1098,0.128624625848508
1099,-3.20674032343933
1100,1.68508029034949
1101,0.610002740696408
1102,0.812512012016042
1103,-1.07766489764116
1104,-1.44246033442304
1105,-0.511065035268847
1106,-0.295291961243202
1107,3.55926338885546
1108,-3.91720453755618
1109,-1.88728825507907
1110,0.311669862663671
1111,-0.230339828253254
1112,-0.635570928612005
1113,-0.0613226132443421
1114,0.943529560674081
1115,0.617296444815599
1116,-0.493833108407767
1117,5.56962778963067
1118,-3.71107349314178
1119,0.402428776724975
1120,1.59242932912612
1121,5.36737853246408
1122,1.71191918704576
1123,1.02581399530471
1124,-0.12470556208529
1125,1.2644164000187
1126,0.470690054951004
1127,0.0498986395625082
1128,0.255695361202994
1129,-0.712116227847729
1130,0.322319324371709
1131,2.23733307143
1132,1.60326169060683
1133,1.65061287709796
1134,-2.49911655971845
1135,-1.48797201310901
1136,-1.1838764814753
1137,-2.19051300556421
1139,-0.715164563653111
1140,3.85976904194813
1141,-0.349344837577743
1142,0.809186402156857
1143,0.821673382911756
1144,1.06514275133004
1145,-1.55502471754909
1146,-0.420576773043232
1147,-0.233644717614714
1148,1.02096026631806
1149,1.4515618939038
1150,-0.159080222339324
1152,0.140236004932251
1153,2.19994721847939
1154,-1.26263676191942
1155,2.07925135317596
1156,0.0275100322498942
1157,1.2194561320254
1158,-1.46504066681771
1159,-0.824682367113349
1160,-3.33352394294535
1161,-0.765789720163912
1162,-0.839181279867757
1163,-1.90733071443467
1164,-1.28393510590768
1165,0.625330916473431
1166,-0.271868569562507
1167,-0.822894564708357
1168,-0.468594362611174
1169,2.57299165769694
1170,2.46049916245987
1171,-0.542805939006125
1172,0.0106933290137859
1173,-0.904746058286298
1174,1.02779137027144
1175,1.63008933652152
1176,2.85007242023159
1177,-3.39677468315367
1178,-1.91872141968733
1179,3.70895532920084
1180,-1.45882692337415
1181,0.245685757223606
1183,-2.87884710638515
1184,-0.307342088569393
1185,0.566610760953335
1186,1.81111162180648
1187,0.418384104398258
1188,0.227770463383801
1189,-0.149678412509132
1190,1.07560793126558
1191,0.247372299865415
1192,-2.4436930567623
1193,-0.651272957043302
1194,0.444879896489926
1195,-0.419617305640246
1196,-3.87339804949439
1197,-1.84202678782187
1198,1.27587084001964
1199,1.50566538228469
1200,0.60103936527639
1201,4.03685533297616
1202,3.35803856342242
1203,0.0713073838573288
1204,3.0620668360693
1205,1.98645448441686
1206,0.919495626080191
1207,0.469915011953313
1208,0.991658767569665
1209,-1.8297987436688
1210,0.950032956023519
1211,0.0996509036121631
1212,5.95035494446787
1213,-0.866754303673097
1214,0.638910688116585
1215,1.13446368282485
1216,1.67089685359095
1217,0.129600970678606
1218,1.17563963332489
1219,0.497388089340396
1220,-2.90289939894432
1221,0.83031676919181
1222,0.326604650388258
1223,-0.142154470396756
1224,-0.359612877554773
1225,-0.841126565304866
1226,-0.367635283856116
1227,-2.95787985303642
1228,-0.486020356184355
1229,1.04272404612538
1230,0.383194141629725
1231,0.262138778862317
1232,1.08460555914063
1233,-1.12709395542136
1234,-1.85955815446297
1235,-0.536199452399551
1236,-0.707593269518527
1237,-2.73617308733216
1238,3.01660500401049
1239,1.46990054579757
1240,-1.41018479469681
1241,0.168406345029805
1242,-0.252448100888132
1243,-0.535515821359143
1244,-0.499060726252227
1245,0.963465966635194
1246,-0.161909824694252
1247,-3.00102392047458
1248,-0.996890386200649
1249,0.556182109575814
1250,2.39831369121027
1251,1.64766217024565
1252,-0.576534949351827
1253,-1.19910455481421
1254,0.495653170680538
1255,-0.430944837642688
1256,1.69592856088211
1257,-2.2907973809579
1258,1.58976806891621
1259,12.6661175496434
1260,0.187599453897367
1261,-0.478741158713378
1262,-0.39932631054444
1263,4.72805954356577
1264,-1.87531995884788
1265,0.56365216300823
1266,-0.950303746979928
1267,1.39333404934081
1268,1.15427293032649
1269,-0.19169621340023
1270,-0.182824023599869
1271,1.44970776386005
1272,-1.4622250889298
1273,-0.559324255249402
1274,-1.11703094547421
1275,-0.720240549267441
1276,0.503099229287515
1278,-0.739658462369708
1279,1.10303957832716
1280,0.106385528381322
1281,-3.02432139026293
1282,1.09776913156254
1283,1.26390567411015
1284,-1.6146122602299
1285,1.48832209189327
1286,0.489379917163061
1287,-1.22701914434854
1288,0.0908037017482812
1289,0.157787939331737
1290,-0.675651234117847
1291,2.40501357437538
1292,-1.9851174334645
1293,-0.279362231316952
1294,-1.21896027878742
1295,-0.646946118658035
1296,-6.28731803158117
1298,-1.69869205354101
1299,-1.3654107911985
1300,-1.41111921352071
1301,-3.24695337477711
1302,-0.523823549096965
1303,-0.928616267670095
1304,0.244390458679893
1305,1.17719324224777
1306,1.44249460232248
1307,1.82501342309377
1308,-0.394178209807515
1309,-0.396943790226553
1310,-0.509240995886644
1311,-0.919706535660862
1312,-2.20808025657015
1313,0.392408401741434
1314,-0.916036658305157
1315,-0.341443961345993
1316,0.177782761677746
1317,-1.69189275781352
1318,0.0985781920363394
2002,2.43600988122956
2003,-2.94732661092884
2004,-0.338278532914803
2006,-1.84798231724238
2007,0.989306622764427
2008,-2.95798374523183
2009,-1.90568336637145
2011,-0.199021241145284
2014,3.79579042807614
2015,0.195438799717413
2016,1.59876730054222
2017,-1.54511785452688
2021,-1.01036428210379
2025,-3.97582901378904
2029,-2.71449931724904
2030,-2.01198129236679
2031,1.73691867266714
2032,-1.32328772327595
2033,1.94230359666337
2035,0.342077534609138
2041,-3.90290568419063
2042,-0.658149358248047
2043,0.117653620574845
2045,-1.2393415586226
2047,-0.484142656011314
2048,4.34087277843373
2049,-0.553677168537895
2052,-1.81265813768385
2054,0.572347979974584
2057,0.653563745093189
2058,-1.90911319997674
2059,-0.350550484331533
2061,0.682840269855536
2062,-0.407328385877112
2065,-0.693392081899276
2066,3.13773455756583
2067,-0.839947530401573
2068,-0.457605396066805
2070,-0.551337575053579
2071,0.626111744156153
2072,0.0894970545630346
2078,2.30659228927329
2079,-1.69282329654299
2082,1.88890140792427
2088,0.756662298755757
2089,2.20049320179756
2090,-2.23320881573166
2091,0.216865465645871
2093,0.835384164746193
2096,-1.71203307031242
2097,-0.461826324325923
2102,0.132349813855457
2104,-2.28872646976273
2107,2.28061727734697
2108,1.55538859364852
2110,-0.371670835296851
2113,-0.782408390916236
2115,0.198015105556339
2116,-0.576078642273615
2118,0.583136218332638
2121,0.28005314694833
2122,-0.228676949311789
2126,-0.56325868546369
2127,-2.69017763019882
2128,0.357668783456906
2131,-0.507314588105236
2133,-0.0440873521732312
2134,-0.00785731674581529
2135,4.07579608886762
2137,0.773255954527001
2142,2.03808471081399
2147,-1.03328616287051
2148,-2.06078385423769
2150,-1.4639885726483
2152,1.82117044305224
2156,0.820447343648354
2158,-0.2450212102833
2163,-1.46801713935962
2164,0.498659140911853
2166,2.13788717398359
2170,2.27708049849196
2171,3.00979273843878
3001,-1.11143992717242
3002,-2.28925652169269
3006,-0.850339090738952
3008,-0.913652216178853
3012,-0.0735047892444828
3016,-0.376134548229594
3018,-1.4834116826633
3019,-3.28903060297162
3021,1.17414764463619
3022,4.81985707234783
3023,1.15624523057602
3024,0.591505730196371
3025,-2.53763481756588
3026,1.45478506791943
3027,0.2932474200572
3030,1.96132648302717
3032,-0.604974459551555
3036,0.4536186401081
3037,1.78706512450111
3039,-0.891573808664058
3040,0.0800449542880903
3041,0.253686128677602
3042,-1.5096916775589
3043,-1.32732717335993
3044,3.0368835152805
3045,2.41543307646071
3047,-1.56234309165035
3049,-0.822253369057136
3051,0.221727730741308
3052,-0.549998999900415
3055,-0.283546790850037
3058,0.298148136460562
3060,-0.495412841137305
3062,-1.81882382818762
3065,-0.847127923224932
3066,-0.514062105811029
3068,-2.20933249317183
3069,1.06866247031777
3070,1.58173295093701
3073,-0.652191100829147
3076,2.35904350214828
3077,1.9670941422514
3079,-1.53925196254859
3082,-0.722835612875151
3083,1.28034835313542
3084,-0.454204705199301
3088,1.3336452821336
3090,-0.197445357666915
3091,1.22738167441949
3093,-0.588461897554716
3095,0.0236283049770588
3097,1.00286164141851
3098,-0.221418862127057
3100,1.52697820720266
3103,-0.311252178986215
3104,0.132025703032435
3106,-0.311107013761119
3108,-2.21955437031179
3109,-2.13266360479236
3112,-6.20730115333428
3114,2.72525751498692
3115,1.29639277088925
3116,-0.714557191539963
3119,0.0601374723078476
3120,1.54461502548876
3121,-0.890966502246073
3122,-1.75959262723972
3129,1.66362205024719
3130,-0.190678184115808
3131,-1.17899326714769
3133,2.08362342375816
3134,-0.721000065956243
3135,1.97558519598843
3138,-0.0288391701225
3139,-0.345196223953392
3140,-0.56834014437119
3141,-1.39103396578799
3143,-0.524720128939547
3144,0.709604181988612
3146,-0.515674022081876
3149,0.799781933704478
3153,0.734657247588909
3154,-2.44015360322068
3158,1.05655735719896
3159,0.64687058973007
3164,3.16506884104536
3166,-0.623923864044912
4001,1.15825372546282
4002,-2.01266630395694
4003,1.77451539106134
4004,-0.817063741921189
4005,1.02625537975273
4006,0.415789230356758
4007,4.77091767709871
4008,-2.42277058621442
4009,0.393160078492179
4010,-2.50463047088788
4011,-2.41256048848398
4012,-0.386992535498275
4013,5.5313678766861
4014,-2.17605220288619
4015,-0.0919966565143047
4016,-1.05053141751452
4017,1.57519860368365
4018,1.7593794088349
4019,-2.10142082343774
4020,-0.180432747366131
4021,-0.848939527408156
4022,-0.732930368426766
4023,3.96984489360777
4024,1.36904433277102
4025,-0.899633535617964
4026,-1.58802963127817
4027,0.96864129363761
4028,-0.952428126546862
4029,-0.656764347114117
4030,0.422745933228775
4031,1.1856678574584
4032,1.99336058275567
4033,-0.293152739621026
4034,-0.511234961479285
4035,2.00932441700787
4037,-0.620898532945004
4038,-4.08237568763964
4039,-2.43278972885209
4040,-1.00646902134253
4041,-0.244009785913829
4042,-2.43381334523634
4043,-2.48252704321409
4044,1.32497691366146
4045,-1.00283799144973
4046,0.69869784494549
4047,-2.70865239178223
4049,-1.65319080183313
4050,1.68046967304229
4051,-0.637705103541729
4052,0.120648985269486
4053,2.38388100152248
4054,-0.0823071424552038
4055,1.42246049036575
4056,-0.685210672459208
4057,0.96832214576157
4058,-1.98938297220035
4059,-1.17087136755846
4060,1.99566861683453
4061,-1.17031564454221
4062,0.74633594729535
4063,3.40146192193543
