"n_covariates","AIC","BIC"
5,73156.0896478725,73209.7595726233
10,70711.1064386088,70803.1120238958
15,68414.9176654637,68545.2589112869
20,66621.8106500541,66790.4875564136
25,65696.6352517143,65903.64781861
30,65446.2214716113,65691.5696990433
156,64344.2647486079,65555.6716215533
