"alpha","n_selected","lambda_1se","CV_MSE"
0.1,124,0.108118075107661,3.51207353566823
0.25,111,0.0602089449333613,3.52589281916189
0.5,114,0.0275853161762918,3.52025595400159
0.75,88,0.0275853161762918,3.54592811013553
1,93,0.0186718109129192,3.53646963227787
