"pred_decile","mean_predicted","mean_observed","sd_observed","n"
"1",97.8184903119313,98.5232952380952,2.00260995486654,1575
"2",99.6953459729501,99.5418349206349,1.68751525892285,1575
"3",100.734312950754,100.446558730159,1.78501106889699,1575
"4",101.717003842399,101.395015873016,1.80782690081371,1575
"5",102.780947070989,102.528628571429,1.99134710742068,1575
"6",103.997755418822,103.794698412698,2.05681821358919,1575
"7",105.263522424247,105.16,2.03773839431353,1575
"8",106.51512420085,106.607746031746,1.98468678590036,1575
"9",107.873862312098,108.100742857143,1.96149390576389,1575
"10",110.09792280643,110.385542857143,2.10599493894989,1575
