"Classe","Decile_1","Decile_2","Decile_3","Decile_4","Decile_5","Decile_6","Decile_7","Decile_8","Decile_9","Decile_10"
"1.1.1 - Interno remoto scarsamente popolato",0.100782778864971,0.0587084148727984,0.0567514677103718,0.0626223091976517,0.0743639921722113,0.123287671232877,0.11252446183953,0.12426614481409,0.155577299412916,0.131115459882583
"1.1.2 - Interno remoto a media densità di popolazione",0.0634920634920635,0.0396825396825397,0.0952380952380952,0.0793650793650794,0.158730158730159,0.126984126984127,0.198412698412698,0.119047619047619,0.0873015873015873,0.0317460317460317
"1.2.1 - Interno prossimo scarsamente popolato",0,0.0112994350282486,0.0451977401129944,0.0564971751412429,0.0790960451977401,0.0903954802259887,0.11864406779661,0.112994350282486,0.192090395480226,0.293785310734463
"1.2.2 - Interno prossimo a media densità di popolazione",0,0,0.032258064516129,0,0.0967741935483871,0.161290322580645,0.193548387096774,0.161290322580645,0.0967741935483871,0.258064516129032
"2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato",0.0931139021221308,0.0766565612819402,0.0822867042009528,0.0948462537895193,0.0909484625378952,0.116933737548722,0.147249891728021,0.127327847553053,0.097444781290602,0.0731918579471633
"2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione",0.247904191616766,0.164071856287425,0.153293413173653,0.105389221556886,0.0730538922155689,0.0754491017964072,0.0550898203592814,0.0491017964071856,0.0502994011976048,0.0263473053892216
"2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato",0.107471852610031,0.124872057318321,0.128966223132037,0.123848515864893,0.127942681678608,0.127942681678608,0.0910951893551689,0.0696008188331627,0.0614124872057318,0.0368474923234391
"2.1.2.2 - Continuum urbano-rurale litoraneo e/o di pianura a media densità di popolazione",0.196700507614213,0.195431472081218,0.139593908629442,0.0989847715736041,0.0761421319796954,0.0609137055837563,0.0799492385786802,0.0723350253807107,0.0583756345177665,0.0215736040609137
"2.3 - Frangia metropolitana de facto o de jure",0.165460186142709,0.14994829369183,0.0816959669079628,0.11789038262668,0.0816959669079628,0.0744570837642192,0.0837642192347466,0.077559462254395,0.0765253360910031,0.0910031023784902
"2.2 - Città media o capoluogo non FUA",0.384615384615385,0.208791208791209,0.0879120879120879,0.0769230769230769,0.0769230769230769,0.120879120879121,0.021978021978022,0.021978021978022,0,0
"3.2.1 - Area metropolitana de jure e de facto (non capoluogo)",0.141804788213628,0.141804788213628,0.116022099447514,0.106813996316759,0.0883977900552486,0.0865561694290976,0.0847145488029466,0.0718232044198895,0.0883977900552486,0.0736648250460405
"3.2.2 - Capoluogo metropolitano",0.285714285714286,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.142857142857143,0.0714285714285714,0.142857142857143,0,0
"3.1 - Polo metropolitano de facto",0.636363636363636,0.181818181818182,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0
