"GRINS_macroclass","Period","predicted_IFC_decile"
"2 ITALIA DI MEZZO","Pre-COVID",5.18758378016089
"3 ITALIA METROPOLITANA","Pre-COVID",5.05281690140855
"1 ITALIA INTERNA","Pre-COVID",6.67205882352937
"2 ITALIA DI MEZZO","Post-COVID",4.81618632707778
"3 ITALIA METROPOLITANA","Post-COVID",4.71038732394379
"1 ITALIA INTERNA","Post-COVID",6.36323529411762
